cycle,nind,model,pop_init,crash_prop,ts,tl,ss
1,500,4,500,0.5,200,100,50
11,500,4,500,0.5,200,100,50
21,500,4,500,0.5,200,100,50
31,500,4,500,0.5,200,100,50
41,500,4,500,0.5,200,100,50
51,500,4,500,0.5,200,100,50
61,500,4,500,0.5,200,100,50
71,500,4,500,0.5,200,100,50
81,500,4,500,0.5,200,100,50
91,500,4,500,0.5,200,100,50
101,500,4,500,0.5,200,100,50
111,500,4,500,0.5,200,100,50
121,500,4,500,0.5,200,100,50
131,500,4,500,0.5,200,100,50
141,500,4,500,0.5,200,100,50
151,500,4,500,0.5,200,100,50
161,500,4,500,0.5,200,100,50
171,500,4,500,0.5,200,100,50
181,500,4,500,0.5,200,100,50
191,500,4,500,0.5,200,100,50
201,500,4,500,0.5,200,100,50
211,500,4,500,0.5,200,100,50
221,500,4,500,0.5,200,100,50
231,500,4,500,0.5,200,100,50
241,500,4,500,0.5,200,100,50
251,500,4,500,0.5,200,100,50
261,500,4,500,0.5,200,100,50
271,500,4,500,0.5,200,100,50
281,500,4,500,0.5,200,100,50
291,500,4,500,0.5,200,100,50
301,500,4,500,0.5,200,100,50
311,500,4,500,0.5,200,100,50
321,500,4,500,0.5,200,100,50
331,500,4,500,0.5,200,100,50
341,500,4,500,0.5,200,100,50
351,500,4,500,0.5,200,100,50
361,500,4,500,0.5,200,100,50
371,500,4,500,0.5,200,100,50
381,500,4,500,0.5,200,100,50
391,500,4,500,0.5,200,100,50
401,500,4,500,0.5,200,100,50
411,500,4,500,0.5,200,100,50
421,500,4,500,0.5,200,100,50
431,500,4,500,0.5,200,100,50
441,500,4,500,0.5,200,100,50
451,500,4,500,0.5,200,100,50
461,500,4,500,0.5,200,100,50
471,500,4,500,0.5,200,100,50
481,500,4,500,0.5,200,100,50
491,500,4,500,0.5,200,100,50
501,500,4,500,0.5,200,100,50
511,500,4,500,0.5,200,100,50
521,500,4,500,0.5,200,100,50
531,500,4,500,0.5,200,100,50
541,500,4,500,0.5,200,100,50
551,500,4,500,0.5,200,100,50
561,500,4,500,0.5,200,100,50
571,500,4,500,0.5,200,100,50
581,500,4,500,0.5,200,100,50
591,500,4,500,0.5,200,100,50
601,500,4,500,0.5,200,100,50
611,500,4,500,0.5,200,100,50
621,500,4,500,0.5,200,100,50
631,500,4,500,0.5,200,100,50
641,500,4,500,0.5,200,100,50
651,500,4,500,0.5,200,100,50
661,500,4,500,0.5,200,100,50
671,500,4,500,0.5,200,100,50
681,500,4,500,0.5,200,100,50
691,500,4,500,0.5,200,100,50
701,500,4,500,0.5,200,100,50
711,500,4,500,0.5,200,100,50
721,500,4,500,0.5,200,100,50
731,500,4,500,0.5,200,100,50
741,500,4,500,0.5,200,100,50
751,500,4,500,0.5,200,100,50
761,500,4,500,0.5,200,100,50
771,500,4,500,0.5,200,100,50
781,500,4,500,0.5,200,100,50
791,500,4,500,0.5,200,100,50
801,500,4,500,0.5,200,100,50
811,500,4,500,0.5,200,100,50
821,500,4,500,0.5,200,100,50
831,500,4,500,0.5,200,100,50
841,500,4,500,0.5,200,100,50
851,500,4,500,0.5,200,100,50
861,500,4,500,0.5,200,100,50
871,500,4,500,0.5,200,100,50
881,500,4,500,0.5,200,100,50
891,500,4,500,0.5,200,100,50
901,500,4,500,0.5,200,100,50
911,500,4,500,0.5,200,100,50
921,500,4,500,0.5,200,100,50
931,500,4,500,0.5,200,100,50
941,500,4,500,0.5,200,100,50
951,500,4,500,0.5,200,100,50
961,500,4,500,0.5,200,100,50
971,500,4,500,0.5,200,100,50
981,500,4,500,0.5,200,100,50
991,500,4,500,0.5,200,100,50
1001,500,4,500,0.5,200,100,50
1011,500,4,500,0.5,200,100,50
1021,500,4,500,0.5,200,100,50
1031,500,4,500,0.5,200,100,50
1041,500,4,500,0.5,200,100,50
1051,500,4,500,0.5,200,100,50
1061,500,4,500,0.5,200,100,50
1071,500,4,500,0.5,200,100,50
1081,500,4,500,0.5,200,100,50
1091,500,4,500,0.5,200,100,50
1101,500,4,500,0.5,200,100,50
1111,500,4,500,0.5,200,100,50
1121,500,4,500,0.5,200,100,50
1131,500,4,500,0.5,200,100,50
1141,500,4,500,0.5,200,100,50
1151,500,4,500,0.5,200,100,50
1161,500,4,500,0.5,200,100,50
1171,500,4,500,0.5,200,100,50
1181,500,4,500,0.5,200,100,50
1191,500,4,500,0.5,200,100,50
