cycle,nind,model,pop_init,crash_prop,ts,tl,ss
1,500,1,500,0.5,200,100,50
11,500,1,500,0.5,200,100,50
21,500,1,500,0.5,200,100,50
31,500,1,500,0.5,200,100,50
41,500,1,500,0.5,200,100,50
51,500,1,500,0.5,200,100,50
61,500,1,500,0.5,200,100,50
71,500,1,500,0.5,200,100,50
81,500,1,500,0.5,200,100,50
91,500,1,500,0.5,200,100,50
101,500,1,500,0.5,200,100,50
111,500,1,500,0.5,200,100,50
121,500,1,500,0.5,200,100,50
131,500,1,500,0.5,200,100,50
141,500,1,500,0.5,200,100,50
151,500,1,500,0.5,200,100,50
161,500,1,500,0.5,200,100,50
171,500,1,500,0.5,200,100,50
181,500,1,500,0.5,200,100,50
191,500,1,500,0.5,200,100,50
201,500,1,500,0.5,200,100,50
211,500,1,500,0.5,200,100,50
221,500,1,500,0.5,200,100,50
231,500,1,500,0.5,200,100,50
241,500,1,500,0.5,200,100,50
251,500,1,500,0.5,200,100,50
261,500,1,500,0.5,200,100,50
271,500,1,500,0.5,200,100,50
281,500,1,500,0.5,200,100,50
291,500,1,500,0.5,200,100,50
301,500,1,500,0.5,200,100,50
311,500,1,500,0.5,200,100,50
321,500,1,500,0.5,200,100,50
331,500,1,500,0.5,200,100,50
341,500,1,500,0.5,200,100,50
351,500,1,500,0.5,200,100,50
361,500,1,500,0.5,200,100,50
371,500,1,500,0.5,200,100,50
381,500,1,500,0.5,200,100,50
391,500,1,500,0.5,200,100,50
401,500,1,500,0.5,200,100,50
411,500,1,500,0.5,200,100,50
421,500,1,500,0.5,200,100,50
431,500,1,500,0.5,200,100,50
441,500,1,500,0.5,200,100,50
451,500,1,500,0.5,200,100,50
461,500,1,500,0.5,200,100,50
471,500,1,500,0.5,200,100,50
481,500,1,500,0.5,200,100,50
491,500,1,500,0.5,200,100,50
501,500,1,500,0.5,200,100,50
511,500,1,500,0.5,200,100,50
521,500,1,500,0.5,200,100,50
531,500,1,500,0.5,200,100,50
541,500,1,500,0.5,200,100,50
551,500,1,500,0.5,200,100,50
561,500,1,500,0.5,200,100,50
571,500,1,500,0.5,200,100,50
581,500,1,500,0.5,200,100,50
591,500,1,500,0.5,200,100,50
601,500,1,500,0.5,200,100,50
611,500,1,500,0.5,200,100,50
621,500,1,500,0.5,200,100,50
631,500,1,500,0.5,200,100,50
641,500,1,500,0.5,200,100,50
651,500,1,500,0.5,200,100,50
661,500,1,500,0.5,200,100,50
671,500,1,500,0.5,200,100,50
681,500,1,500,0.5,200,100,50
691,500,1,500,0.5,200,100,50
701,500,1,500,0.5,200,100,50
711,500,1,500,0.5,200,100,50
721,500,1,500,0.5,200,100,50
731,500,1,500,0.5,200,100,50
741,500,1,500,0.5,200,100,50
751,500,1,500,0.5,200,100,50
761,500,1,500,0.5,200,100,50
771,500,1,500,0.5,200,100,50
781,500,1,500,0.5,200,100,50
791,500,1,500,0.5,200,100,50
801,500,1,500,0.5,200,100,50
811,500,1,500,0.5,200,100,50
821,500,1,500,0.5,200,100,50
831,500,1,500,0.5,200,100,50
841,500,1,500,0.5,200,100,50
851,500,1,500,0.5,200,100,50
861,500,1,500,0.5,200,100,50
871,500,1,500,0.5,200,100,50
881,500,1,500,0.5,200,100,50
891,500,1,500,0.5,200,100,50
901,500,1,500,0.5,200,100,50
911,500,1,500,0.5,200,100,50
921,500,1,500,0.5,200,100,50
931,500,1,500,0.5,200,100,50
941,500,1,500,0.5,200,100,50
951,500,1,500,0.5,200,100,50
961,500,1,500,0.5,200,100,50
971,500,1,500,0.5,200,100,50
981,500,1,500,0.5,200,100,50
991,500,1,500,0.5,200,100,50
1001,500,1,500,0.5,200,100,50
1011,394,1,500,0.5,200,100,50
1021,333,1,500,0.5,200,100,50
1031,298,1,500,0.5,200,100,50
1041,277,1,500,0.5,200,100,50
1051,266,1,500,0.5,200,100,50
1061,259,1,500,0.5,200,100,50
1071,255,1,500,0.5,200,100,50
1081,253,1,500,0.5,200,100,50
1091,252,1,500,0.5,200,100,50
1101,251,1,500,0.5,200,100,50
1111,251,1,500,0.5,200,100,50
1121,250,1,500,0.5,200,100,50
1131,250,1,500,0.5,200,100,50
1141,250,1,500,0.5,200,100,50
1151,250,1,500,0.5,200,100,50
1161,250,1,500,0.5,200,100,50
1171,250,1,500,0.5,200,100,50
1181,250,1,500,0.5,200,100,50
1191,250,1,500,0.5,200,100,50
