cycle,nind,model,pop_init,crash_prop,ts,tl
1,500,3,500,0.5,200,100
11,500,3,500,0.5,200,100
21,500,3,500,0.5,200,100
31,500,3,500,0.5,200,100
41,500,3,500,0.5,200,100
51,500,3,500,0.5,200,100
61,500,3,500,0.5,200,100
71,500,3,500,0.5,200,100
81,500,3,500,0.5,200,100
91,500,3,500,0.5,200,100
101,500,3,500,0.5,200,100
111,500,3,500,0.5,200,100
121,500,3,500,0.5,200,100
131,500,3,500,0.5,200,100
141,500,3,500,0.5,200,100
151,500,3,500,0.5,200,100
161,500,3,500,0.5,200,100
171,500,3,500,0.5,200,100
181,500,3,500,0.5,200,100
191,500,3,500,0.5,200,100
201,500,3,500,0.5,200,100
211,500,3,500,0.5,200,100
221,500,3,500,0.5,200,100
231,500,3,500,0.5,200,100
241,500,3,500,0.5,200,100
251,500,3,500,0.5,200,100
261,500,3,500,0.5,200,100
271,500,3,500,0.5,200,100
281,500,3,500,0.5,200,100
291,500,3,500,0.5,200,100
301,500,3,500,0.5,200,100
311,500,3,500,0.5,200,100
321,500,3,500,0.5,200,100
331,500,3,500,0.5,200,100
341,500,3,500,0.5,200,100
351,500,3,500,0.5,200,100
361,500,3,500,0.5,200,100
371,500,3,500,0.5,200,100
381,500,3,500,0.5,200,100
391,500,3,500,0.5,200,100
401,500,3,500,0.5,200,100
411,500,3,500,0.5,200,100
421,500,3,500,0.5,200,100
431,500,3,500,0.5,200,100
441,500,3,500,0.5,200,100
451,500,3,500,0.5,200,100
461,500,3,500,0.5,200,100
471,500,3,500,0.5,200,100
481,500,3,500,0.5,200,100
491,500,3,500,0.5,200,100
501,500,3,500,0.5,200,100
511,500,3,500,0.5,200,100
521,500,3,500,0.5,200,100
531,500,3,500,0.5,200,100
541,500,3,500,0.5,200,100
551,500,3,500,0.5,200,100
561,500,3,500,0.5,200,100
571,500,3,500,0.5,200,100
581,500,3,500,0.5,200,100
591,500,3,500,0.5,200,100
601,500,3,500,0.5,200,100
611,500,3,500,0.5,200,100
621,500,3,500,0.5,200,100
631,500,3,500,0.5,200,100
641,500,3,500,0.5,200,100
651,500,3,500,0.5,200,100
661,500,3,500,0.5,200,100
671,500,3,500,0.5,200,100
681,500,3,500,0.5,200,100
691,500,3,500,0.5,200,100
701,500,3,500,0.5,200,100
711,500,3,500,0.5,200,100
721,500,3,500,0.5,200,100
731,500,3,500,0.5,200,100
741,500,3,500,0.5,200,100
751,500,3,500,0.5,200,100
761,500,3,500,0.5,200,100
771,500,3,500,0.5,200,100
781,500,3,500,0.5,200,100
791,500,3,500,0.5,200,100
801,500,3,500,0.5,200,100
811,500,3,500,0.5,200,100
821,500,3,500,0.5,200,100
831,500,3,500,0.5,200,100
841,500,3,500,0.5,200,100
851,500,3,500,0.5,200,100
861,500,3,500,0.5,200,100
871,500,3,500,0.5,200,100
881,500,3,500,0.5,200,100
891,500,3,500,0.5,200,100
901,500,3,500,0.5,200,100
911,500,3,500,0.5,200,100
921,500,3,500,0.5,200,100
931,500,3,500,0.5,200,100
941,500,3,500,0.5,200,100
951,500,3,500,0.5,200,100
961,500,3,500,0.5,200,100
971,500,3,500,0.5,200,100
981,500,3,500,0.5,200,100
991,500,3,500,0.5,200,100
1001,500,3,500,0.5,200,100
1011,252,3,500,0.5,200,100
1021,450,3,500,0.5,200,100
1031,498,3,500,0.5,200,100
1041,499,3,500,0.5,200,100
1051,500,3,500,0.5,200,100
1061,500,3,500,0.5,200,100
1071,500,3,500,0.5,200,100
1081,500,3,500,0.5,200,100
1091,500,3,500,0.5,200,100
1101,500,3,500,0.5,200,100
1111,500,3,500,0.5,200,100
1121,500,3,500,0.5,200,100
1131,500,3,500,0.5,200,100
1141,500,3,500,0.5,200,100
1151,500,3,500,0.5,200,100
1161,500,3,500,0.5,200,100
1171,500,3,500,0.5,200,100
1181,500,3,500,0.5,200,100
1191,500,3,500,0.5,200,100
